date,EV Trend,Coronavirus Trend,Coronavirus_unscaled,Coronavirus_monthly,isPartial_x,scale_x,Electric vehicle_unscaled,Electric vehicle_monthly,isPartial_y,scale_y
2017-09-22,16.740000000000002,0.0,,,,,,,,
2017-09-24,22.41,0.0,,,,,,,,
2017-09-25,16.200000000000003,0.0,,,,,,,,
2017-09-28,18.09,0.0,,,,,,,,
2017-09-29,19.44,0.0,,,,,,,,
2017-10-04,18.98,0.0,,,,,,,,
2017-10-05,16.900000000000002,0.0,,,,,,,,
2017-10-09,16.64,0.0,,,,,,,,
2017-10-13,19.5,0.0,,,,,,,,
2017-10-16,24.44,0.0,,,,,,,,
2017-10-19,20.28,0.0,,,,,,,,
2017-10-26,22.880000000000003,0.0,,,,,,,,
2017-11-03,24.96,0.0,,,,,,,,
2017-11-05,21.06,0.0,,,,,,,,
2017-11-13,19.24,0.0,,,,,,,,
2017-11-14,23.14,0.0,,,,,,,,
2017-11-22,23.92,0.0,,,,,,,,
2017-11-30,13.52,0.0,,,,,,,,
2017-12-15,20.54,0.0,,,,,,,,
2017-12-23,8.06,0.0,,,,,,,,
2018-01-02,22.680000000000003,0.0,,,,,,,,
2018-01-03,25.200000000000003,0.0,,,,,,,,
2018-01-05,21.840000000000003,0.0,,,,,,,,
2018-01-06,17.360000000000003,0.0,,,,,,,,
2018-01-07,14.000000000000002,0.0,,,,,,,,
2018-01-09,17.92,0.0,,,,,,,,
2018-01-11,14.840000000000002,0.0,,,,,,,,
2018-01-12,22.12,0.0,,,,,,,,
2018-01-14,18.200000000000003,0.0,,,,,,,,
2018-01-15,25.76,0.0,,,,,,,,
2018-01-16,21.56,0.0,,,,,,,,
2018-01-17,12.88,0.0,,,,,,,,
2018-01-19,20.44,0.0,,,,,,,,
2018-01-21,21.000000000000004,0.0,,,,,,,,
2018-01-23,21.28,0.0,,,,,,,,
2018-01-25,19.880000000000003,0.0,,,,,,,,
2018-01-27,28.000000000000004,0.0,,,,,,,,
2018-01-29,27.72,0.0,,,,,,,,
2018-02-01,21.33,0.0,,,,,,,,
2018-02-06,21.87,0.0,,,,,,,,
2018-02-10,25.110000000000003,0.0,,,,,,,,
2018-02-13,13.77,0.0,,,,,,,,
2018-02-17,14.31,0.0,,,,,,,,
2018-02-24,12.15,0.0,,,,,,,,
2018-02-26,25.65,0.0,,,,,,,,
2018-02-28,19.17,0.0,,,,,,,,
2018-03-02,10.53,0.0,,,,,,,,
2018-03-10,13.23,0.0,,,,,,,,
2018-03-20,11.61,0.0,,,,,,,,
